"","lemma","total","v1s","v1sFreq","v1p","v1pFreq","v2s","v2sFreq","v2p","v2pFreq","v3s","v3sFreq","v3p","v3pFreq"
"231","caedo1",6,1,0.166666666666667,0,0,1,0.166666666666667,0,0,3,0.5,1,0.166666666666667
"232","calco1",2,0,0,0,0,0,0,0,0,1,0.5,1,0.5
"233","caleo1",2,0,0,0,0,0,0,0,0,2,1,0,0
"234","calfacio1",1,0,0,0,0,0,0,0,0,1,1,0,0
"235","cano1",14,0,0,0,0,2,0.142857142857143,0,0,10,0.714285714285714,2,0.142857142857143
"236","canto1",9,0,0,0,0,0,0,0,0,5,0.555555555555556,4,0.444444444444444
"237","capero1",1,0,0,0,0,0,0,0,0,1,1,0,0
"238","capesso1",1,0,0,0,0,0,0,1,1,0,0,0,0
"239","capio",5,1,0.2,1,0.2,0,0,0,0,2,0.4,1,0.2
"240","capio1",22,1,0.0454545454545455,0,0,1,0.0454545454545455,1,0.0454545454545455,12,0.545454545454545,7,0.318181818181818
"241","capto",1,0,0,0,0,0,0,0,0,0,0,1,1
"242","capto1",1,1,1,0,0,0,0,0,0,0,0,0,0
"243","careo",2,0,0,0,0,0,0,0,0,2,1,0,0
"244","careo1",2,0,0,0,0,0,0,0,0,2,1,0,0
"245","carpo",2,0,0,0,0,0,0,0,0,1,0.5,1,0.5
"246","carpo1",5,0,0,0,0,3,0.6,0,0,1,0.2,1,0.2
"247","castigo1",2,1,0.5,1,0.5,0,0,0,0,0,0,0,0
"248","caveo",2,0,0,0,0,0,0,0,0,2,1,0,0
"249","caveo1",8,0,0,0,0,6,0.75,1,0.125,1,0.125,0,0
"250","cedo1",13,2,0.153846153846154,1,0.0769230769230769,2,0.153846153846154,0,0,2,0.153846153846154,6,0.461538461538462
"251","celebro1",4,0,0,0,0,0,0,0,0,1,0.25,3,0.75
"252","celo1",2,0,0,0,0,0,0,0,0,1,0.5,1,0.5
"253","ceno",1,0,0,0,0,0,0,1,1,0,0,0,0
"254","ceno1",7,2,0.285714285714286,2,0.285714285714286,1,0.142857142857143,0,0,1,0.142857142857143,1,0.142857142857143
"255","censeo1",12,4,0.333333333333333,0,0,0,0,0,0,7,0.583333333333333,1,0.0833333333333333
"256","cerno1",17,1,0.0588235294117647,0,0,3,0.176470588235294,0,0,10,0.588235294117647,3,0.176470588235294
"257","certo2",8,0,0,1,0.125,0,0,0,0,2,0.25,5,0.625
"258","cesso",3,0,0,0,0,0,0,0,0,2,0.666666666666667,1,0.333333333333333
"259","cesso1",5,0,0,0,0,3,0.6,0,0,2,0.4,0,0
"260","cingo1",2,0,0,0,0,0,0,0,0,1,0.5,1,0.5
"261","circumdo",1,0,0,0,0,0,0,0,0,1,1,0,0
"262","circumdo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"263","circumeo1",2,0,0,0,0,0,0,0,0,1,0.5,1,0.5
"264","circumfero1",5,0,0,0,0,0,0,0,0,5,1,0,0
"265","circummingo1",2,1,0.5,0,0,0,0,0,0,1,0.5,0,0
"266","circumsono1",1,0,0,0,0,0,0,0,0,1,1,0,0
"267","circumspicio1",2,0,0,0,0,1,0.5,0,0,1,0.5,0,0
"268","circumsto",1,0,0,0,0,0,0,0,0,1,1,0,0
"269","circumsto1",1,0,0,0,0,0,0,0,0,0,0,1,1
"270","circumvenio1",1,0,0,0,0,0,0,0,0,1,1,0,0
"271","cito2",1,0,0,0,0,0,0,0,0,0,0,1,1
"272","clamo1",18,1,0.0555555555555556,1,0.0555555555555556,1,0.0555555555555556,0,0,10,0.555555555555556,5,0.277777777777778
"273","claudo1",9,0,0,0,0,0,0,0,0,6,0.666666666666667,3,0.333333333333333
"274","cludo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"275","coalesco",1,0,0,0,0,0,0,0,0,1,1,0,0
"276","coalo1",1,0,0,0,0,0,0,0,0,0,0,1,1
"277","coarguo1",1,0,0,0,0,0,0,0,0,0,0,1,1
"278","coarto",1,0,0,0,0,0,0,0,0,1,1,0,0
"279","coemo1",1,1,1,0,0,0,0,0,0,0,0,0,0
"280","coeo",2,0,0,0,0,0,0,0,0,1,0.5,1,0.5
"281","coepio",19,1,0.0526315789473684,1,0.0526315789473684,0,0,0,0,13,0.684210526315789,4,0.210526315789474
"282","coepio1",61,9,0.147540983606557,3,0.0491803278688525,1,0.0163934426229508,0,0,31,0.508196721311475,17,0.278688524590164
"283","coepto",1,0,0,0,0,0,0,0,0,1,1,0,0
"284","coerceo",4,0,0,0,0,0,0,0,0,3,0.75,1,0.25
"285","coerceo1",3,0,0,0,0,0,0,0,0,2,0.666666666666667,1,0.333333333333333
"286","cogito",6,1,0.166666666666667,0,0,1,0.166666666666667,0,0,3,0.5,1,0.166666666666667
"287","cogito1",9,0,0,0,0,4,0.444444444444444,0,0,2,0.222222222222222,3,0.333333333333333
"288","cognosco",4,1,0.25,0,0,1,0.25,0,0,2,0.5,0,0
"289","cognosco1",16,3,0.1875,0,0,3,0.1875,0,0,5,0.3125,5,0.3125
"290","cogo",10,3,0.3,0,0,0,0,0,0,6,0.6,1,0.1
"291","cogo1",11,5,0.454545454545455,1,0.0909090909090909,2,0.181818181818182,0,0,3,0.272727272727273,0,0
"292","cohaereo1",1,0,0,0,0,0,0,0,0,0,0,1,1
"293","cohibeo",1,0,0,0,0,0,0,0,0,0,0,1,1
"294","colligo1",2,0,0,0,0,0,0,0,0,2,1,0,0
"295","colloco",6,0,0,0,0,0,0,0,0,4,0.666666666666667,2,0.333333333333333
"296","colloco1",1,0,0,0,0,0,0,0,0,1,1,0,0
"297","colloquor1",1,0,0,0,0,0,0,0,0,0,0,1,1
"298","colludo",1,0,0,0,0,0,0,0,0,0,0,1,1
"299","colo1",5,0,0,0,0,0,0,0,0,4,0.8,1,0.2
"300","comburo1",2,1,0.5,0,0,0,0,0,0,1,0.5,0,0
"301","comedo",3,1,0.333333333333333,1,0.333333333333333,0,0,0,0,1,0.333333333333333,0,0
