"","lemma","Total","one_sg","pctA","two_sg","pctB","three_sg","pctC","one_pl","pctD","two_pl","pctE","three_pl","pctF","other","pct_other"
"2061","possum1",179,31,0.173184357541899,27,0.150837988826816,72,0.402234636871508,1,0.00558659217877095,3,0.0167597765363128,24,0.134078212290503,0,0
"2096","praemitto",12,0,0,0,0,1,0.0833333333333333,0,0,0,0,0,0,1,1
"2107","praesto2",16,3,0.1875,1,0.0625,6,0.375,0,0,0,0,2,0.125,0,0
"2128","premo1",12,1,0.0833333333333333,0,0,7,0.583333333333333,0,0,0,0,1,0.0833333333333333,0,0
"2130","privo",17,0,0,0,0,1,0.0588235294117647,0,0,0,0,0,0,1,1
"2136","procedo1",15,0,0,0,0,9,0.6,0,0,0,0,4,0.266666666666667,1,1
"2157","proficiscor",13,0,0,4,0.307692307692308,1,0.0769230769230769,0,0,0,0,1,0.0769230769230769,1,1
"2222","pugno1",23,1,0.0434782608695652,0,0,5,0.217391304347826,0,0,0,0,3,0.130434782608696,1,1
"2229","puto",10,1,0.1,3,0.3,4,0.4,0,0,1,0.1,0,0,1,1
"2230","puto1",59,17,0.288135593220339,15,0.254237288135593,11,0.186440677966102,2,0.0338983050847458,5,0.0847457627118644,7,0.11864406779661,0,0
"2232","quaero",16,4,0.25,0,0,9,0.5625,0,0,0,0,1,0.0625,0,0
"2233","quaero1",32,2,0.0625,6,0.1875,8,0.25,2,0.0625,1,0.03125,3,0.09375,0,0
"2239","queror",18,4,0.222222222222222,1,0.0555555555555556,1,0.0555555555555556,1,0.0555555555555556,0,0,1,0.0555555555555556,0,0
"2240","queror1",10,0,0,0,0,3,0.3,0,0,0,0,0,0,1,1
"2243","rapio",14,0,0,1,0.0714285714285714,5,0.357142857142857,0,0,0,0,1,0.0714285714285714,0,0
"2244","rapio1",20,0,0,0,0,8,0.4,0,0,0,0,2,0.1,0,0
"2254","recipio",17,6,0.352941176470588,0,0,6,0.352941176470588,0,0,0,0,0,0,1,1
"2274","reddo",13,0,0,4,0.307692307692308,3,0.230769230769231,0,0,0,0,2,0.153846153846154,0,0
"2275","reddo1",16,1,0.0625,1,0.0625,4,0.25,0,0,1,0.0625,0,0,0,0
"2277","redeo",12,2,0.166666666666667,1,0.0833333333333333,5,0.416666666666667,0,0,0,0,2,0.166666666666667,1,1
"2290","refero",10,0,0,1,0.1,5,0.5,0,0,0,0,2,0.2,0,0
"2291","refero1",29,1,0.0344827586206897,7,0.241379310344828,11,0.379310344827586,1,0.0344827586206897,0,0,0,0,1,1
"2312","relinquo",11,0,0,0,0,6,0.545454545454545,0,0,0,0,0,0,1,1
"2313","relinquo1",27,0,0,2,0.0740740740740741,8,0.296296296296296,1,0.037037037037037,1,0.037037037037037,5,0.185185185185185,0,0
"2333","reperio1",10,0,0,0,0,3,0.3,0,0,0,0,1,0.1,1,1
"2371","respicio1",12,1,0.0833333333333333,1,0.0833333333333333,3,0.25,0,0,0,0,0,0,0,0
"2372","respondeo",17,0,0,0,0,11,0.647058823529412,0,0,0,0,1,0.0588235294117647,0,0
"2373","respondeo1",12,1,0.0833333333333333,1,0.0833333333333333,7,0.583333333333333,0,0,0,0,2,0.166666666666667,0,0
"2393","revoco1",10,1,0.1,0,0,3,0.3,0,0,1,0.1,0,0,0,0
"2396","rideo1",16,0,0,3,0.1875,7,0.4375,1,0.0625,0,0,3,0.1875,0,0
"2402","rogo1",36,12,0.333333333333333,2,0.0555555555555556,6,0.166666666666667,4,0.111111111111111,0,0,1,0.0277777777777778,0,0
